Date,WY,P,Q,ET
11/16/00 0:00,2000,5.08,4.7,3.148986601
11/17/00 0:00,2000,1.52,4.2,3.148986601
11/18/00 0:00,2000,8.13,4,3.148986601
11/19/00 0:00,2000,8.13,4.2,3.148986601
11/20/00 0:00,2000,8.13,6.5,3.148986601
11/21/00 0:00,2000,18.54,6.6,3.148986601
11/22/00 0:00,2000,10.67,5.6,3.148986601
11/23/00 0:00,2000,19.3,11.5,3.148986601
11/24/00 0:00,2000,19.3,5.3,3.148986601
11/25/00 0:00,2000,13.72,11.5,3.148986601
11/26/00 0:00,2000,13.72,7.6,3.148986601
11/27/00 0:00,2000,13.72,5.6,3.148986601
11/28/00 0:00,2000,15.49,7.1,3.148986601
11/29/00 0:00,2000,1.02,5.5,3.148986601
11/30/00 0:00,2000,15.49,7.5,3.148986601
12/1/00 0:00,2000,1.52,4.7,2.896500947
12/2/00 0:00,2000,0.25,4,2.896500947
12/3/00 0:00,2000,0.25,3.6,2.896500947
12/4/00 0:00,2000,0.25,3.5,2.896500947
12/5/00 0:00,2000,0.25,3.3,2.896500947
12/6/00 0:00,2000,0,3.2,2.896500947
12/7/00 0:00,2000,0,3,2.896500947
12/8/00 0:00,2000,0.76,3,2.896500947
12/9/00 0:00,2000,2.79,2.9,2.896500947
12/10/00 0:00,2000,2.79,2.9,2.896500947
12/11/00 0:00,2000,2.79,2.9,2.896500947
12/12/00 0:00,2000,16.51,4.2,2.896500947
12/13/00 0:00,2000,22.61,7.2,2.896500947
12/14/00 0:00,2000,14.22,5.8,2.896500947
12/15/00 0:00,2000,21.08,12.8,2.896500947
12/16/00 0:00,2000,20.83,5.9,2.896500947
12/17/00 0:00,2000,20.83,15.7,2.896500947
12/18/00 0:00,2000,20.83,10.4,2.896500947
12/19/00 0:00,2000,0.51,7.8,2.896500947
12/20/00 0:00,2000,27.69,7.5,2.896500947
12/21/00 0:00,2000,9.14,7.2,2.896500947
12/22/00 0:00,2000,19.81,10.9,2.896500947
12/23/00 0:00,2000,2.03,7.2,2.896500947
12/24/00 0:00,2000,2.03,5.2,2.896500947
12/25/00 0:00,2000,2.03,4.6,2.896500947
