Date,DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
90913,9/13/09,0,0,0,0,0,0,0,0,0
90914,9/14/09,0,0,0,0,0,0,0,0,0
90915,9/15/09,1.3,1.4,0.9,1.4,1.7,2.1,2.3,2.1,2.3
90916,9/16/09,0,0,0,0,0,0,0,0,0
90917,9/17/09,0,0,0,0,0,0,0,0,0
90918,9/18/09,1.4,1.4,0.9,1.6,1.8,2.1,1.9,1.6,1.4
90919,9/19/09,0,0,0,0,0,0,0,0,0
90920,9/20/09,0,0,0,0,0,0,0,0,0
90921,9/21/09,0,0,0,0,0,0,0,0,0
90922,9/22/09,0,0,0,0,0,0,0,0,0
90923,9/23/09,3.3,3.1,2.9,3.5,3.2,3.1,6.8,7,7.5
90924,9/24/09,0,0,0,0,0,0,0,0,0
90925,9/25/09,0,0,0,0,0,0,0,0,0
90926,9/26/09,0,0,0,0,0,0,0,0,0
90927,9/27/09,36.1,35.9,35.2,36.9,37.7,39.4,40.7,42.5,41.9
90928,9/28/09,7.6,8,8.5,7.4,7.8,7.3,11.4,11.1,11
90929,9/29/09,2.4,2.4,2.5,2.4,2.5,2.6,2.4,2.4,2.5
90930,9/30/09,0.5,0.5,0.4,0.6,0.4,0.3,0.3,0.2,0.2
91001,10/1/09,0,0,0,0,0,0,0,0,0
91002,10/2/09,3.6,3.5,3.4,3.7,3,2.1,4.1,4,3.7
91003,10/3/09,32.3,32.3,32.1,33,34,35.7,35.4,35.4,35.2
91004,10/4/09,0.8,0.8,0.8,0.8,0.7,0.5,0.8,0.8,0.6
91005,10/5/09,2.1,2.1,2.2,2.1,2,1.9,3.6,3.7,4.4
91006,10/6/09,0,0,0,0,0,0,0,0,0
91007,10/7/09,37.1,37.2,37.3,36.9,37.2,37.4,40.3,39.6,39.2
91008,10/8/09,0.4,0.4,0.5,0.4,0.5,0.5,1.3,1.3,1.1
91009,10/9/09,2.8,2.6,2.3,2.9,2.4,2.1,3.1,3,2.6
91010,10/10/09,2.8,3.1,3.5,2.5,3.2,3.5,2.1,2.1,2.1
91011,10/11/09,0.4,0.3,0.2,0.5,0.3,0.3,0,0,0
91012,10/12/09,0,0,0,0,0,0,0,0,0
91013,10/13/09,7.3,7.1,6.9,7.4,7.4,7.8,6.2,5.9,6.3
91014,10/14/09,0,0,0,0,0,0,0,0,0
91015,10/15/09,0,0,0,0,0,0,0,0,0
91016,10/16/09,0,0,0,0,0,0,0,0,0
91017,10/17/09,0,0,0,0,0,0,0,0,0
91018,10/18/09,0,0,0,0,0,0,0,0,0
91019,10/19/09,0,0,0,0,0,0,0,0,0
91020,10/20/09,0,0,0,0,0,0,0,0,0
91021,10/21/09,2.6,2.5,2.3,2.8,2.3,1.8,1.3,1.7,1.6
91022,10/22/09,4.7,4.8,4.9,4.7,5,5.5,5,4.8,4.6
91023,10/23/09,2.2,1.9,1.4,2.6,1.7,1.3,1.8,2.6,1.9
91024,10/24/09,68.4,68.6,67.4,69.9,69.6,71.6,64.3,66.2,67.1
91025,10/25/09,1.7,2,2.3,1.4,1.6,1.3,1.3,1.1,1.1
91026,10/26/09,0,0,0,0,0,0,0,0,0
91027,10/27/09,0,0,0,0,0,0,0,0,0
91028,10/28/09,4.3,4.2,4,3.5,3.9,4.1,3.9,3.9,4.5
91029,10/29/09,0,0,0,0,0,0,0,0,0
